LOOPID,HHMMSS,YYYYMMDD,has_data,scan_count,flag,volume
1,24740,20111025,1,0,0,0
1,24800,20111025,1,63,0,4
1,24820,20111025,1,57,0,1
1,24840,20111025,1,15,0,1
1,24900,20111025,1,24,0,2
1,24920,20111025,1,0,0,0
1,24940,20111025,1,5,0,1
1,25000,20111025,1,11,0,1
1,25020,20111025,1,66,0,2
1,25040,20111025,1,0,0,0
1,25100,20111025,1,0,0,0
1,25120,20111025,1,0,0,0
1,25140,20111025,1,57,0,2
1,25200,20111025,1,24,0,3
1,25220,20111025,1,54,0,1
1,25240,20111025,1,0,0,0
1,25300,20111025,1,0,0,0
1,25320,20111025,1,87,0,4
1,25340,20111025,1,0,0,0
1,25400,20111025,1,57,0,1
1,25420,20111025,1,0,0,0
1,25440,20111025,1,0,0,0
1,25500,20111025,1,12,0,1
1,25520,20111025,1,30,0,2
1,25540,20111025,1,17,0,0
1,25600,20111025,1,6,0,1
1,25620,20111025,1,0,0,0
1,25640,20111025,1,54,0,2
1,25700,20111025,1,18,0,1
1,25720,20111025,1,51,0,1
1,25740,20111025,1,9,0,1
1,25800,20111025,1,63,0,1
1,25820,20111025,1,0,0,0
1,25840,20111025,1,114,0,2
1,25900,20111025,1,0,0,0
1,25920,20111025,1,0,0,0
1,25940,20111025,1,0,0,0
1,30000,20111025,1,57,0,1
1,30020,20111025,1,12,0,1
1,30040,20111025,1,0,0,0
1,30100,20111025,1,23,0,2
1,30120,20111025,1,66,0,2
1,30140,20111025,1,0,0,0
1,30200,20111025,1,12,0,1
1,30220,20111025,1,0,0,0
1,30240,20111025,1,45,0,2
1,30300,20111025,1,45,0,1
1,30320,20111025,1,0,0,0
1,30340,20111025,1,12,0,1
1,30400,20111025,1,15,0,1
1,30420,20111025,1,18,0,1
1,30440,20111025,1,69,0,2
1,30500,20111025,1,0,0,0
1,30520,20111025,1,9,0,1
1,30540,20111025,1,12,0,1
1,30600,20111025,1,87,0,2
1,30620,20111025,1,9,0,1
1,30640,20111025,1,15,0,1
1,30700,20111025,1,132,0,2
1,30720,20111025,1,57,0,1
1,30740,20111025,1,0,0,0
1,30800,20111025,1,0,0,0
1,30820,20111025,1,44,0,1
1,30840,20111025,1,12,0,1
1,30900,20111025,1,0,0,0
1,30920,20111025,1,0,0,0
1,30940,20111025,1,0,0,0
1,31000,20111025,1,0,0,0
1,31020,20111025,1,30,0,1
1,31040,20111025,1,26,0,2
1,31100,20111025,1,0,0,0
1,31120,20111025,1,42,0,1
1,31140,20111025,1,135,0,4
1,31200,20111025,1,12,0,1
1,31220,20111025,1,129,0,2
1,31240,20111025,1,27,0,1
1,31300,20111025,1,75,0,3
1,31320,20111025,1,33,0,1
1,31340,20111025,1,0,0,0
1,31400,20111025,1,12,0,1
1,31420,20111025,1,120,0,3
1,31440,20111025,1,102,0,2
1,31500,20111025,1,39,0,2
1,31520,20111025,1,27,0,1
1,31540,20111025,1,27,0,1
1,31600,20111025,1,57,0,4
1,31620,20111025,1,9,0,1
1,31640,20111025,1,18,0,1
1,31700,20111025,1,0,0,0
1,31720,20111025,1,83,0,2
1,31740,20111025,1,24,0,2
1,31800,20111025,1,26,0,1
1,31820,20111025,1,0,0,0
1,31840,20111025,1,0,0,0
1,31900,20111025,1,12,0,1
1,31920,20111025,1,0,0,0
1,31940,20111025,1,0,0,0
1,32000,20111025,1,0,0,0
1,32020,20111025,1,9,0,1
1,32040,20111025,1,12,0,1
1,32100,20111025,1,0,0,0
1,32120,20111025,1,84,0,2
1,32140,20111025,1,0,0,0
1,32200,20111025,1,0,0,0
